flow_id,flow_duration_s,total_fwd_packets,total_bwd_packets,total_fwd_bytes,total_bwd_bytes,packet_rate,byte_rate,avg_packet_size,fwd_bwd_ratio,syn_flag_ratio,ack_flag_ratio,unique_src_ips,protocol,label
FLOW-000001,4.155527523947178,26,12,18984.682966964123,9047.271739826183,10.268254423525066,9796.880101244918,737.6830185997449,2.076923076923077,0.0,0.3570251533785811,1,TCP,BENIGN
FLOW-000002,0.0393826046027998,396,1,30215.65143038713,53.814278604338135,11799.987379431886,889880.7931458207,76.24550556421025,198.5,0.9720475070618032,0.14249360239240577,284,TCP,DDOS
FLOW-000003,4.616309747976195,18,19,9626.51503280675,10272.385232971288,11.266283936426962,4023.636975313392,537.8081152912982,0.95,0.0,0.5295082138912132,1,TCP,BENIGN
FLOW-000004,1.1211288892306714,30,24,14288.938185649487,7195.845124144122,43.23373602460737,17453.92954076576,397.86635758877054,1.24,0.05173592222530396,0.6093811813429278,1,UDP,BENIGN
FLOW-000005,0.0346721969869483,793,2,915695.0218097592,114.86420304813592,21603.500546882875,15905587.943514245,1151.962120770827,264.6666666666667,0.011081933140704938,0.07312176353103529,218,UDP,DDOS
FLOW-000006,8.68153349646849,24,20,8293.298004666281,9580.325601032608,4.700664459401879,1408.141079314556,406.21871831133836,1.1904761904761905,0.0,0.477206591798569,1,UDP,BENIGN
FLOW-000007,6.75216836772647,27,21,12132.746444685064,22922.208409087936,6.019118421332802,4786.132851699826,730.3115594536042,1.2727272727272727,0.0,0.43265084763330375,1,TCP,BENIGN
FLOW-000008,1.4574177372953405,26,13,12181.308120031352,4395.501964556583,25.17568884198289,13660.433296627432,425.04641242533165,1.9285714285714286,0.0,0.6321908659145823,3,TCP,BENIGN
FLOW-000009,0.14220822452659881,22,21,18299.300525647508,7754.232134293224,293.69305737550906,147805.9302575433,605.8961083707146,1.0454545454545454,0.009973254204533565,0.48782433909737666,1,UDP,BENIGN
FLOW-000010,3.815792205983204,18,29,9714.47131816693,10182.411119725932,12.998423326601717,4348.552829893325,423.33792421048645,0.6333333333333333,0.048397467939079564,0.6520008416117071,1,UDP,BENIGN
FLOW-000011,0.18213394835493585,151,144,73313.36005391888,36591.49798848742,2118.056490252058,699211.6936560429,372.5588408217163,1.0482758620689656,0.22754084027029664,0.45085400246361,172,TCP,DDOS
FLOW-000012,4.094044228647874,27,30,5666.576773715546,13084.835664042113,8.84332271929926,2873.112186476648,328.97214803083614,0.9032258064516129,0.09560805604646712,0.36484382428058976,1,TCP,BENIGN
FLOW-000013,4.518278742927103,22,19,7365.280836578198,10024.366335742567,7.178485121551906,4598.415534453787,424.13773591026256,1.15,0.1317792984599367,0.5079321735879947,1,TCP,BENIGN
FLOW-000014,5.391748697428008,21,17,13413.100480597564,5417.770573480767,6.45128603598358,4146.538585482941,495.5492382652193,1.2222222222222223,0.10463951927682255,0.36592032068548647,4,ICMP,BENIGN
FLOW-000015,2.378680211029301,126,106,52487.509888068744,38085.704924402125,77.94687199769342,29940.484406438038,390.4017879847882,1.1869158878504673,0.250511157723841,0.3248693860949893,68,TCP,BENIGN
FLOW-000016,0.8583573036753395,29,17,14383.783098857439,12045.994454231299,47.49636618929286,27885.37525259503,574.5603815888855,1.6666666666666667,0.0667221132001824,0.5746861768091115,3,TCP,BENIGN
FLOW-000017,9.25949448281111,17,24,4725.656949200248,17389.20127230044,2.7657459579043624,2370.5524608294086,539.3867858902607,0.72,0.10302221910680764,0.42433484640592584,1,TCP,BENIGN
FLOW-000018,3.2745247225097356,148,148,80945.30974623453,45958.35261210752,79.31768431140353,36858.98633330141,428.7285890484529,1.0,0.07381652427990879,0.5919710219931934,103,TCP,DDOS
FLOW-000019,2.5604460890830114,26,12,7901.297613994531,6560.060898124882,18.31207545145371,5443.22397330548,380.56206610840565,2.076923076923077,0.07898816030590344,0.3716506273037855,3,TCP,BENIGN
FLOW-000020,1.4332816014442993,22,22,14073.004520930408,7166.109755453846,15.349391199769038,16092.774300799858,482.70714264509667,1.0,0.0,0.2943172395873206,1,TCP,BENIGN
FLOW-000021,0.6797859757289992,28,16,20181.70604870221,8561.721186877352,59.21875811208437,33339.62261373542,653.2597098995356,1.7058823529411764,0.022919906830092582,0.3505218262735617,2,TCP,BENIGN
FLOW-000022,1.759713519433269,154,162,54858.77218497849,29827.61168659429,199.20056811434878,49127.20433542923,267.9948856695341,0.950920245398773,0.0897508849843873,0.5699984100436342,322,TCP,DDOS
FLOW-000023,1.7122756036446058,114,135,40248.31303901514,38245.43935732169,138.12052556845973,63971.968474666886,315.2359533989431,0.8455882352941176,0.22934784030798286,0.5726812744899121,63,TCP,BENIGN
FLOW-000024,5.859175603578448,20,24,6922.59042812817,14144.517994209342,8.602350760635295,3648.6056521212868,478.7979186894889,0.84,0.004937857503709378,0.46554000513617205,1,TCP,BENIGN
FLOW-000025,0.2805514741950076,776,1,1164000.0,57.49629626295217,2534.9950075513048,3970032.671103636,1498.1434958767863,388.5,0.0,0.0,58,UDP,DDOS
FLOW-000026,0.09854806221946395,388,0,22760.584723305503,0.0,2714.73406912515,210712.05883112154,58.661300833261606,389.0,0.84526558884077,0.11017958073938033,16,TCP,DDOS
FLOW-000027,3.3400180549569076,26,23,4799.707924131695,10609.744203181852,18.534234613556478,4599.69283077643,314.4786148431336,1.125,0.0,0.27398151208910315,1,TCP,BENIGN
FLOW-000028,0.646560955134909,157,132,83399.55078750226,43892.394127147105,484.6009295577204,236073.54852574287,440.45655679809465,1.1879699248120301,0.34262366757277346,0.46209422394296895,171,TCP,DDOS
